service,operation,transport,state,reason
bigquery,BigQuery.CancelJob,rest,preview,no SQL engine; metadata + stored rows only
bigquery,BigQuery.CreateDataset,rest,preview,no SQL engine; metadata + stored rows only
bigquery,BigQuery.CreateTable,rest,preview,no SQL engine; metadata + stored rows only
bigquery,BigQuery.DeleteDataset,rest,preview,no SQL engine; metadata + stored rows only
bigquery,BigQuery.DeleteJob,rest,preview,no SQL engine; metadata + stored rows only
bigquery,BigQuery.DeleteTable,rest,preview,no SQL engine; metadata + stored rows only
bigquery,BigQuery.GetDataset,rest,preview,no SQL engine; metadata + stored rows only
bigquery,BigQuery.GetJob,rest,preview,no SQL engine; metadata + stored rows only
bigquery,BigQuery.GetQueryResults,rest,preview,no SQL engine; metadata + stored rows only
bigquery,BigQuery.GetServiceAccount,rest,preview,no SQL engine; metadata + stored rows only
bigquery,BigQuery.GetTable,rest,preview,no SQL engine; metadata + stored rows only
bigquery,BigQuery.InsertAll,rest,preview,no SQL engine; metadata + stored rows only
bigquery,BigQuery.InsertJob,rest,preview,no SQL engine; metadata + stored rows only
bigquery,BigQuery.ListDatasets,rest,preview,no SQL engine; metadata + stored rows only
bigquery,BigQuery.ListJobs,rest,preview,no SQL engine; metadata + stored rows only
bigquery,BigQuery.ListRows,rest,preview,no SQL engine; metadata + stored rows only
bigquery,BigQuery.ListTables,rest,preview,no SQL engine; metadata + stored rows only
bigquery,BigQuery.Models,rest,preview,no SQL engine; metadata + stored rows only
bigquery,BigQuery.Query,rest,preview,no SQL engine; metadata + stored rows only
bigquery,BigQuery.Routines,rest,preview,no SQL engine; metadata + stored rows only
bigquery,BigQuery.RowAccessPolicies,rest,preview,no SQL engine; metadata + stored rows only
bigquery,BigQuery.UpdateDataset,rest,preview,no SQL engine; metadata + stored rows only
bigquery,BigQuery.UpdateTable,rest,preview,no SQL engine; metadata + stored rows only
clouddns,CloudDNS.ChangeCreate,rest,limited,metadata-only over ResourceStore (no private DNS resolution)
clouddns,CloudDNS.ChangeGet,rest,limited,metadata-only over ResourceStore (no private DNS resolution)
clouddns,CloudDNS.ChangeList,rest,limited,metadata-only over ResourceStore (no private DNS resolution)
clouddns,CloudDNS.ManagedZoneCreate,rest,limited,metadata-only over ResourceStore (no private DNS resolution)
clouddns,CloudDNS.ManagedZoneDelete,rest,limited,metadata-only over ResourceStore (no private DNS resolution)
clouddns,CloudDNS.ManagedZoneGet,rest,limited,metadata-only over ResourceStore (no private DNS resolution)
clouddns,CloudDNS.ManagedZoneList,rest,limited,metadata-only over ResourceStore (no private DNS resolution)
clouddns,CloudDNS.ManagedZonePatch,rest,limited,metadata-only over ResourceStore (no private DNS resolution)
clouddns,CloudDNS.ManagedZoneUpdate,rest,limited,metadata-only over ResourceStore (no private DNS resolution)
clouddns,CloudDNS.ProjectGet,rest,limited,metadata-only over ResourceStore (no private DNS resolution)
clouddns,CloudDNS.ResourceRecordSetCreate,rest,limited,metadata-only over ResourceStore (no private DNS resolution)
clouddns,CloudDNS.ResourceRecordSetDelete,rest,limited,metadata-only over ResourceStore (no private DNS resolution)
clouddns,CloudDNS.ResourceRecordSetGet,rest,limited,metadata-only over ResourceStore (no private DNS resolution)
clouddns,CloudDNS.ResourceRecordSetList,rest,limited,metadata-only over ResourceStore (no private DNS resolution)
clouddns,CloudDNS.ResourceRecordSetPatch,rest,limited,metadata-only over ResourceStore (no private DNS resolution)
clouddns,CloudDNS.Unimplemented,rest,unsupported,explicit Unimplemented stub
cloudsql,CloudSQL.ConnectGet,rest,limited,metadata-only over ResourceStore (no control plane)
cloudsql,CloudSQL.DatabasesDelete,rest,limited,metadata-only over ResourceStore (no control plane)
cloudsql,CloudSQL.DatabasesGet,rest,limited,metadata-only over ResourceStore (no control plane)
cloudsql,CloudSQL.DatabasesInsert,rest,limited,metadata-only over ResourceStore (no control plane)
cloudsql,CloudSQL.DatabasesList,rest,limited,metadata-only over ResourceStore (no control plane)
cloudsql,CloudSQL.DatabasesPatch,rest,limited,metadata-only over ResourceStore (no control plane)
cloudsql,CloudSQL.DatabasesUpdate,rest,limited,metadata-only over ResourceStore (no control plane)
cloudsql,CloudSQL.FlagsList,rest,limited,metadata-only over ResourceStore (no control plane)
cloudsql,CloudSQL.InstancesDelete,rest,limited,metadata-only over ResourceStore (no control plane)
cloudsql,CloudSQL.InstancesGet,rest,limited,metadata-only over ResourceStore (no control plane)
cloudsql,CloudSQL.InstancesInsert,rest,limited,metadata-only over ResourceStore (no control plane)
cloudsql,CloudSQL.InstancesList,rest,limited,metadata-only over ResourceStore (no control plane)
cloudsql,CloudSQL.InstancesPatch,rest,limited,metadata-only over ResourceStore (no control plane)
cloudsql,CloudSQL.InstancesRestart,rest,limited,metadata-only over ResourceStore (no control plane)
cloudsql,CloudSQL.InstancesUpdate,rest,limited,metadata-only over ResourceStore (no control plane)
cloudsql,CloudSQL.OperationsGet,rest,limited,metadata-only over ResourceStore (no control plane)
